,Datetime,Time,Lon/deg,Lat/deg,Radius/Rs
70,2020-05-18,12:00:00,178.35333450561077,3.4473941998297786,117.9432183477754
71,2020-05-18,18:00:00,175.19988655322658,3.4354630977136997,117.06001752300428
72,2020-05-19,00:00:00,172.05242549984686,3.423185113512828,116.1689633181179
73,2020-05-19,06:00:00,168.91114442598337,3.4105472861710906,115.26997813857345
74,2020-05-19,12:00:00,165.77624486496194,3.3975360062413227,114.36298254322102
75,2020-05-19,18:00:00,162.6479380616279,3.3841369508817754,113.44789619210589
76,2020-05-20,00:00:00,159.52644497266627,3.370335056172995,112.52463712183975
77,2020-05-20,06:00:00,156.41199680748608,3.3561144708276553,111.593121658653
78,2020-05-20,12:00:00,153.3048354093873,3.3414585131647514,110.65326409964237
79,2020-05-20,18:00:00,150.20521498815805,3.3263495802996754,109.70497796755782
80,2020-05-21,00:00:00,147.1134020785524,3.3107691130763572,108.74817507945818
81,2020-05-21,06:00:00,144.02967626049212,3.294697533601185,107.7827654483603
82,2020-05-21,12:00:00,140.95433064380205,3.278114188211967,106.8086568770324
83,2020-05-21,18:00:00,137.88767429796403,3.2609972182565072,105.82575663724737
84,2020-05-22,00:00:00,134.8300321308363,3.243323515788761,104.83397026200649
85,2020-05-22,06:00:00,131.7817458601964,3.225068638144634,103.83320143648665
86,2020-05-22,12:00:00,128.74317463151004,3.2062067317353926,102.82335147638346
87,2020-05-22,18:00:00,125.71469849641427,3.1867103443611406,101.80432159978315
88,2020-05-23,00:00:00,122.69671814088642,3.16655036977537,100.7760113478378
89,2020-05-23,06:00:00,119.68965621597778,3.145695929222309,99.73831846858305
90,2020-05-23,12:00:00,116.6939581583486,3.1241142675156675,98.69113827159507
91,2020-05-23,18:00:00,113.71009717307273,3.1017704785635654,97.63436664575129
92,2020-05-24,00:00:00,110.73857376626654,3.0786274342754494,96.56789804627631
93,2020-05-24,06:00:00,107.77991760953114,3.0546456173682337,95.49162539156093
94,2020-05-24,12:00:00,104.83468878631794,3.0297829720356004,94.40543938333515
95,2020-05-24,18:00:00,101.90348465531093,3.0039945116314084,93.3092322250347
96,2020-05-25,00:00:00,98.98693931386345,2.9772322178490844,92.202895251066
97,2020-05-25,06:00:00,96.08572631192816,2.9494447987349512,91.08631890961826
98,2020-05-25,12:00:00,93.20056097240823,2.9205774527417447,89.959392373852
99,2020-05-25,18:00:00,90.33220896162415,2.890571344348522,88.82200743292155
100,2020-05-26,00:00:00,87.48148629634571,2.8593634340168563,87.67405612669684
101,2020-05-26,06:00:00,84.64926282187099,2.826886147470305,86.51543057499717
102,2020-05-26,12:00:00,81.83646905046983,2.793066875029604,85.3460247542539
103,2020-05-26,18:00:00,79.04410352992507,2.7578274195687045,84.1657364707536
104,2020-05-27,00:00:00,76.2732341792001,2.7210837038610562,82.9744652695493
105,2020-05-27,06:00:00,73.52500578416878,2.6827451753243294,81.77211381995895
106,2020-05-27,12:00:00,70.80065267459197,2.6427139291316855,80.55859179413777
107,2020-05-27,18:00:00,68.10149992245374,2.600884354423778,79.33381346392191
108,2020-05-28,00:00:00,65.42897362558261,2.557142322699369,78.0976996302654
109,2020-05-28,06:00:00,62.784617120459856,2.5113640388309997,76.85018190535023
110,2020-05-28,12:00:00,60.17009394145922,2.463415522099869,75.59120106455984
111,2020-05-28,18:00:00,57.58720400791542,2.413151395128836,74.32071041767286
112,2020-05-29,00:00:00,55.037901286389896,2.360413546285387,73.0386796406929
113,2020-05-29,06:00:00,52.52430129848602,2.305030292192819,71.74509492766138
114,2020-05-29,12:00:00,50.048707318458014,2.2468145225729548,70.43996454606162
115,2020-05-29,18:00:00,47.6136261823596,2.1855623563448976,69.12332196739729
116,2020-05-30,00:00:00,45.22178775346279,2.121051588590539,67.79522952320626
117,2020-05-30,06:00:00,42.87618019124513,2.053039237542807,66.4557857324796
118,2020-05-30,12:00:00,40.580065056747465,1.9812602132357597,65.10512959043582
119,2020-05-30,18:00:00,38.33702288722327,1.9054242865885331,63.74344927140379
120,2020-05-31,00:00:00,36.150978925660965,1.8252142286130937,62.37099049795727
121,2020-05-31,06:00:00,34.02625124610992,1.7402827503895284,60.98806656471086
122,2020-05-31,12:00:00,31.967593690107265,1.6502498862337511,59.59507130581051
123,2020-05-31,18:00:00,29.98024891121702,1.5547000155775172,58.19249273815579
124,2020-06-01,00:00:00,28.07000790671338,1.453178842227472,56.780931126445196
125,2020-06-01,06:00:00,26.243274664341186,1.3451905783028708,55.36111853785495
126,2020-06-01,12:00:00,24.507139605864445,1.2301953296682593,53.93394426815281
127,2020-06-01,18:00:00,22.86946304764177,1.1076069023862587,52.500481975087794
128,2020-06-02,00:00:00,21.338957851918476,0.9767921428493422,51.06202703348698
129,2020-06-02,06:00:00,19.925295643722077,0.8370708109261727,49.62013301061112
130,2020-06-02,12:00:00,18.639195708021077,0.6877193918250767,48.17666527547558
131,2020-06-02,18:00:00,17.492539182174735,0.5279771043948129,46.73385430108653
132,2020-06-03,00:00:00,16.498464330739026,0.35705833698057116,45.294364625964185
133,2020-06-03,06:00:00,15.671453977126275,0.17417255064544207,43.861376131401364
134,2020-06-03,12:00:00,15.027402754100452,-0.021445334729078766,42.43867363679856
135,2020-06-03,18:00:00,14.583633584164506,-0.23048933245205688,41.03075251936925
136,2020-06-04,00:00:00,14.358839998426758,-0.4535169003321115,39.64293886252875
137,2020-06-04,06:00:00,14.37291466329654,-0.6908577234926148,38.28151834154986
138,2020-06-04,12:00:00,14.646605249127157,-0.9424901992771169,36.953871886737815
139,2020-06-04,18:00:00,15.200926547272918,-1.2078801278462732,35.668608272638416
140,2020-06-05,00:00:00,16.05624238511121,-1.4857792388807383,34.43567808621443
141,2020-06-05,06:00:00,17.230924596689178,-1.7739883821272227,33.26644525682068
142,2020-06-05,12:00:00,18.73950988717055,-2.0691032932410702,32.173682523120995
143,2020-06-05,18:00:00,20.590325689038327,-2.366281002353423,31.17144757642291
144,2020-06-06,00:00:00,22.782662112740052,-2.6590907815639646,30.274790832607103
145,2020-06-06,06:00:00,25.303741111320313,-2.93953824226738,29.499249821646732
146,2020-06-06,12:00:00,28.125956156659388,-3.1983600156545795,28.860106423188274
147,2020-06-06,18:00:00,31.205077031456035,-3.4256597175917762,28.371428700077026
148,2020-06-07,00:00:00,34.48020769293885,-3.6118771869515367,28.044979762284054
149,2020-06-07,06:00:00,37.876089411945316,-3.7489595983620143,27.889148922507456
150,2020-06-07,12:00:00,41.307862835074616,-3.831483198665306,27.908101191006434
